"GERES-Internação";"2601 Recife";"2602 Limoeiro";"2603 Palmares";"2604 Caruaru";"2605 Garanhuns";"2606 Arcoverde";"2607 Salgueiro";"2608 Petrolina";"2609 Ouricuri";"2610 Afogados da Ingazeira";"2611 Serra Talhada";"2612 Goiana";"Outros Estados";"Total"
"2601 Recife";5036;300;261;886;84;33;1;0;0;5;9;46;8;6669
"2602 Limoeiro";496;6594;13;201;2;27;0;0;2;0;0;2744;17;10096
"2603 Palmares";25;10;7441;834;197;1;0;0;2;0;0;4;150;8664
"2604 Caruaru";30;104;95;3792;483;125;2;1;0;17;29;2;4;4684
"2605 Garanhuns";5;1;37;751;5570;611;0;0;1;7;11;0;11;7005
"2606 Arcoverde";3;2;17;1333;480;6167;13;16;27;86;128;0;36;8308
"2607 Salgueiro";10;0;0;1;0;9;5472;549;181;8;278;0;370;6878
"2608 Petrolina";0;0;0;1;0;15;49;5975;213;0;1;0;2450;8704
"2609 Ouricuri";0;0;0;0;0;0;4;33;5574;0;0;0;6;5617
"2610 Afogados da Ingazeira";0;0;0;33;20;784;2;0;3;3485;788;1;62;5178
"2611 Serra Talhada";0;0;0;4;2;246;11;29;0;73;2530;0;95;2990
"2612 Goiana";12;10;1;0;0;0;1;0;0;0;0;1874;35;1933